year,longitude,latitude,fish_type
2012.0,-67.1694166700,49.1340833300,capelin
2012.0,-66.3015833300,49.2582500000,capelin
2012.0,-65.6994166700,49.3165000000,capelin
2012.0,-64.7882500000,49.2258333300,capelin
2012.0,-64.4737500000,49.4722500000,capelin
2013.0,-63.7641666700,48.8925000000,capelin
2013.0,-63.1375000000,49.0358333300,capelin
2013.0,-62.3865000000,48.9456666700,capelin
2013.0,-61.8843333300,48.7349166700,capelin
2013.0,-61.4750000000,48.8477500000,capelin
2013.0,-60.3675000000,48.8750000000,capelin
2013.0,-59.9798333300,48.9674166700,capelin
2013.0,-59.9399166700,49.0982500000,capelin
2013.0,-60.1614166700,49.1692500000,capelin
2013.0,-60.2241666700,49.7779166700,capelin
2013.0,-59.5737500000,49.8591666700,capelin
2013.0,-59.4890000000,49.9312500000,capelin
2013.0,-59.2280000000,50.0118333300,capelin
2013.0,-58.6869166700,50.2568333300,capelin
2013.0,-58.3525000000,50.5041666700,capelin
2013.0,-58.1322500000,50.5662500000,capelin
2013.0,-57.1166666700,51.1650000000,capelin
2013.0,-57.5428333300,50.5191666700,capelin
2013.0,-58.6806666700,49.3590833300,capelin
2013.0,-58.1218333300,49.8807500000,capelin
2013.0,-57.9234166700,50.1070000000,capelin
2013.0,-58.0861666700,50.1354166700,capelin
2013.0,-58.0615833300,50.3025833300,capelin
2013.0,-58.0894166700,50.4151666700,capelin
2013.0,-58.2334166700,50.3655000000,capelin
2013.0,-58.7500833300,50.0349166700,capelin
2013.0,-59.3103333300,49.7360000000,capelin
2013.0,-59.2317500000,49.5854166700,capelin
2013.0,-59.4055000000,49.4694166700,capelin
2013.0,-59.7263333300,49.1350833300,capelin
2013.0,-59.5087500000,48.8450000000,capelin
2013.0,-59.6512500000,48.6747500000,capelin
2013.0,-59.5613333300,48.6285000000,capelin
2013.0,-59.3732500000,48.3296666700,capelin
2013.0,-58.9670833300,48.3530833300,capelin
2013.0,-59.0785000000,48.2141666700,capelin
2013.0,-59.1047500000,48.1423333300,capelin
2013.0,-59.3770833300,48.1028333300,capelin
2013.0,-60.9287500000,48.0237500000,capelin
2013.0,-61.0674166700,48.0470833300,capelin
2013.0,-61.0126666700,48.0873333300,capelin
2013.0,-61.1447500000,48.3005833300,capelin
2013.0,-61.6761666700,48.5238333300,capelin
2013.0,-61.9216666700,48.2665000000,capelin
2013.0,-61.9920833300,48.3022500000,capelin
2013.0,-61.9997500000,48.4505833300,capelin
2013.0,-62.4263333300,48.3627500000,capelin
2013.0,-62.6749166700,48.7597500000,capelin
2013.0,-63.9127500000,49.0647500000,capelin
2013.0,-63.7123333300,49.0724166700,capelin
2013.0,-63.5927500000,49.1810000000,capelin
2013.0,-63.5412500000,49.3105833300,capelin
2013.0,-63.7795000000,49.4229166700,capelin
2013.0,-63.8107500000,49.5530833300,capelin
2013.0,-64.1590000000,49.6666666700,capelin
2013.0,-65.0498333300,49.7332500000,capelin
2013.0,-65.3095833300,49.9170833300,capelin
2013.0,-65.4050000000,49.8120833300,capelin
2013.0,-65.5655000000,49.7688333300,capelin
2013.0,-65.8713333300,49.7375833300,capelin
2013.0,-66.1940000000,49.6870833300,capelin
2013.0,-65.9026666700,49.6499166700,capelin
2013.0,-65.8845833300,49.4860000000,capelin
2013.0,-64.9957500000,49.4372500000,capelin
2013.0,-64.5739166700,49.3670000000,capelin
2013.0,-64.3210833300,49.1535833300,capelin
2013.0,-66.0300000000,49.2933333300,capelin
2013.0,-66.1400833300,49.2858333300,capelin
2013.0,-66.2600000000,49.3058333300,capelin
2013.0,-66.7433333300,49.1605833300,capelin
2013.0,-66.9094166700,49.2114166700,capelin
2013.0,-67.2482500000,49.0134166700,capelin
2013.0,-67.2853333300,48.9722500000,capelin
2013.0,-67.5250000000,48.8893333300,capelin
2013.0,-67.6353333300,48.9412500000,capelin
2013.0,-67.6705833300,48.9061666700,capelin
2013.0,-68.1475000000,48.8644166700,capelin
2013.0,-68.2695000000,48.7019166700,capelin
2013.0,-68.5170000000,48.7162500000,capelin
2013.0,-68.4834166700,48.5967500000,capelin
2013.0,-68.5990833300,48.6209166700,capelin
2013.0,-68.6853333300,48.5471666700,capelin
2013.0,-68.9892500000,48.4153333300,capelin
2013.0,-69.3353333300,48.3662500000,capelin
2013.0,-68.9875000000,48.5576666700,capelin
2013.0,-68.8153333300,48.6886666700,capelin
2013.0,-68.9357500000,48.7495000000,capelin
2013.0,-68.7916666700,48.7591666700,capelin
2013.0,-68.6866666700,48.8427500000,capelin
2013.0,-68.2450000000,48.9708333300,capelin
2013.0,-68.0635833300,49.1701666700,capelin
2013.0,-67.8054166700,49.2024166700,capelin
2013.0,-67.1911666700,49.2714166700,capelin
2013.0,-67.1402500000,49.4459166700,capelin
2013.0,-66.7890833300,49.8825833300,capelin
2013.0,-66.8018333300,49.9039166700,capelin
2013.0,-66.6805000000,49.8934166700,capelin
2013.0,-66.2708333300,50.0076666700,capelin
2013.0,-65.2841666700,50.1032500000,capelin
2013.0,-63.6658333300,50.0841666700,capelin
2013.0,-62.6394166700,50.1690833300,capelin
2013.0,-62.6826666700,50.0904166700,capelin
2013.0,-61.7835000000,49.8486666700,capelin
2013.0,-61.8414166700,49.8168333300,capelin
2013.0,-62.1472500000,49.6209166700,capelin
2013.0,-61.6391666700,49.5695000000,capelin
2013.0,-61.4707500000,49.4485000000,capelin
2013.0,-61.5626666700,49.5187500000,capelin
2013.0,-61.5713333300,49.6562500000,capelin
2013.0,-61.2400000000,50.0683333300,capelin
2013.0,-61.2025000000,49.8950000000,capelin
2013.0,-60.7923333300,49.7767500000,capelin
2013.0,-61.0136666700,49.6446666700,capelin
2013.0,-60.8440833300,49.5964166700,capelin
2013.0,-60.6675000000,49.5619166700,capelin
