data_date,latitude,longitude,depth,temperature,salinity
8/9/2009,48.68,-68.59,200,3.579999924,33.88199997
7/30/2009,47.74,-60.06,100,0.510999978,32.48799896
6/30/2009,49.71,-66.27,300,5.343999863,34.65100098
8/26/2009,48.28,-64.39,100,0.787,32.29199982
8/1/2009,48.22,-59.87,200,5.188000202,34.43399811
8/1/2009,48.15,-60.08,0,10.59200001,31.08799934
9/22/2009,48.67,-68.58,300,4.90500021,34.40299988
8/9/2009,48.68,-68.59,200,5.006000042,34.44800186
8/1/2009,48.08,-60.7,400,5.092000008,34.82600021
6/11/2009,47.02,-60.12,0,0.81099999,31.66699982
8/4/2009,48.67,-68.56,100,2.457000017,33.48799896
7/31/2009,48.33,-61.07,200,3.489000082,33.79899979
8/10/2009,48.94,-60,100,0.072999999,32.29399872
4/23/2009,49.02,-67.24,200,4.168000221,34.11500168
8/11/2009,48.38,-62.57,100,0.764999986,32.97999954
8/5/2009,49.25,-59.46,100,1.547000051,33.21099854
8/1/2009,48.15,-60.08,100,0.85799998,32.02899933
8/1/2009,48.08,-60.7,200,5.081999779,34.37400055
7/14/2009,48.68,-68.58,200,2.944000006,33.64799881
6/6/2009,49.32,-64.72,200,4.506000042,34.21099854
8/7/2009,50.52,-57.52,100,0.291000009,32.01100159
9/22/2009,47.38,-60.42,0,12.49699974,30.90500069
9/14/2009,48.67,-68.58,0,6.447999954,27.68300056
6/30/2009,48.64,-68.64,300,4.602000237,34.2840004
6/19/2009,48.17,-63.75,0,9.123999596,27.43899918
6/8/2009,49.85,-59.45,200,5.138999939,34.40999985
6/5/2009,49.72,-66.25,200,4.197000027,34.09600067
5/3/2009,48.66,-68.59,200,4.678999901,34.30599976
7/30/2009,47.5,-60,100,1.588999987,32.99399948
5/17/2009,49.7,-66.26,0,-0.474000007,32.49599838
8/29/2009,49.18,-66.67,100,2.763999939,33.59899902
8/11/2009,48.38,-62.57,200,3.555999994,33.82400131
7/28/2009,46.97,-63.52,0,0.185000002,31.02899933
5/3/2009,48.66,-68.59,100,-0.549000025,31.66200066
4/18/2009,48.77,-68.27,0,-0.054000001,31.32600021
8/19/2009,50.04,-65.03,0,2.698999882,31.58399963
4/25/2009,48.79,-68.25,100,-0.808000028,31.88199997
6/7/2009,50.1,-59.92,0,5.585999966,30.75
8/10/2009,47.98,-62.31,0,18,28.93600082
