,year,depth_range,temperature,salinity,temp_variation,sal_variation,temp_var_ytoy,sal_var_ytoy
79,2018,"(700, 800]",5.326,34.968,-0.03500000000000014,-0.013999999999995794,0.2599999999999998,-0.0049999999999954525
80,2009,"(800, 900]",4.914,34.958,0.0,0.0,0.0,0.0
81,2010,"(800, 900]",4.525,34.936,-0.38899999999999935,-0.021999999999998465,-0.38899999999999935,-0.021999999999998465
82,2011,"(800, 900]",4.379,34.926,-0.5350000000000001,-0.031999999999996476,-0.1460000000000008,-0.00999999999999801
83,2012,"(800, 900]",4.55,34.935,-0.3639999999999999,-0.022999999999996135,0.17100000000000026,0.009000000000000341
84,2013,"(800, 900]",4.429,34.926,-0.48499999999999943,-0.031999999999996476,-0.12099999999999955,-0.009000000000000341
85,2014,"(800, 900]",4.555,34.933,-0.359,-0.02499999999999858,0.12599999999999945,0.006999999999997897
86,2015,"(800, 900]",4.5,34.936,-0.4139999999999997,-0.021999999999998465,-0.054999999999999716,0.0030000000000001137
87,2016,"(800, 900]",4.724,34.978,-0.1899999999999995,0.020000000000003126,0.2240000000000002,0.04200000000000159
88,2017,"(800, 900]",4.682,34.952,-0.23199999999999932,-0.006000000000000227,-0.041999999999999815,-0.026000000000003354
89,2018,"(800, 900]",4.873,34.941,-0.04099999999999948,-0.016999999999995907,0.19099999999999984,-0.01099999999999568
90,2009,"(900, 1000]",4.572,34.945,0.0,0.0,0.0,0.0
91,2010,"(900, 1000]",4.287,34.926,-0.28500000000000014,-0.01899999999999835,-0.28500000000000014,-0.01899999999999835
92,2011,"(900, 1000]",4.192,34.92,-0.3799999999999999,-0.02499999999999858,-0.09499999999999975,-0.006000000000000227
93,2012,"(900, 1000]",4.305,34.925,-0.26700000000000035,-0.020000000000003126,0.11299999999999955,0.0049999999999954525
94,2013,"(900, 1000]",4.22,34.917,-0.3520000000000003,-0.027999999999998693,-0.08499999999999996,-0.007999999999995566
95,2014,"(900, 1000]",4.311,34.924,-0.2610000000000001,-0.021000000000000796,0.09100000000000019,0.006999999999997897
